0,1,2,place_name,total_count,place_id
0.267515923566879,0.03184713375796178,0.7006369426751592,조이다이브,157,759
0.15,0.03333333333333333,0.8166666666666667,소남머리,60,427
0.3,0.016981132075471698,0.6830188679245283,맛있는 철학자(태반의땅제주),1060,225
0.14666666666666667,0.02,0.8333333333333334,"보롬이(하논, 화구구)",300,297
0.1,0.0,0.9,문화빳데리 충전소,20,251
0.3225806451612903,0.016129032258064516,0.6612903225806451,서귀포시립기당미술관,62,379
0.21428571428571427,0.14285714285714285,0.6428571428571429,서귀다원,28,374
0.3157894736842105,0.0,0.6842105263157895,제주국제평화센터,19,652
0.0,0.0,1.0,돈내코유원지,1,187
0.0,0.0,1.0,예래생태체험관,1,539
0.14285714285714285,0.0,0.8571428571428571,월평포구,21,596
0.037037037037037035,0.14814814814814814,0.8148148148148148,월라사,27,590
